candle_time,open,close,high,low,volume,ma,week,bias,invest_rate,smart_invest,normal_invest,si_share,ni_share,smart_share,normal_share,smart_capital,normal_capital,smart_invest_all,normal_invest_all,smart_rate,normal_rate
2017-12-15 08:00:00,16384.0,17569.0,18111.0,16349.0,63123.65764636,4389.403916288958,4,3.002593594725225,0.3999999999999999,,,0.0,,0.0,,0.0,,,,,
2017-12-16 08:00:00,17569.0,19210.0,19550.0,17050.0,48267.95066408,4461.362716288958,5,3.305859268035311,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-17 08:00:00,19209.0,18960.0,19891.0,18622.0,51803.97212888,4532.260316288957,6,3.1833431173089735,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-18 08:00:00,18956.0,18928.0,19175.0,18010.0,53568.53299659,4603.062716288958,0,3.1120447768437036,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-19 08:00:00,18924.0,17345.0,18987.0,16400.0,66651.94721902,4667.695116288958,1,2.715966781864302,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-20 08:00:00,17344.0,16425.0,17709.0,15500.0,82156.93475162,4728.567916288958,2,2.4735675347750012,0.3999999999999999,0.0,,0.0,,0.0,,0.0,,0.0,,,
2017-12-21 08:00:00,16425.0,15645.0,17333.0,14801.0,65594.82857517,4786.374716288958,3,2.2686534020742344,0.3999999999999999,399.9999999999999,1000.0,0.025528980418793343,0.06382245104698338,0.025528980418793343,0.06382245104698338,399.40089865202185,998.502246630055,399.9999999999999,1000.0,0.9985022466300549,0.9985022466300549
2017-12-22 08:00:00,15645.0,13173.0,15842.42999525,10700.0,178636.96590219,4834.218716288958,4,1.7249491123795082,0.3999999999999999,,,0.0,,0.025528980418793343,0.06382245104698338,336.2932590567647,840.7331476419121,399.9999999999999,,,
2017-12-23 08:00:00,13173.0,14035.0,14999.0,12521.0,59929.24368394,4885.398716288958,5,1.8728463765310142,0.3999999999999999,,,0.0,,0.025528980418793343,0.06382245104698338,358.2992401777646,895.7481004444118,399.9999999999999,,,
2017-12-24 08:00:00,14036.0,13477.0,14050.0,11600.0,72382.27824946,4934.245116288958,6,1.7313195194761706,0.3999999999999999,,,0.0,,0.025528980418793343,0.06382245104698338,344.0540691040779,860.135172760195,399.9999999999999,,,
2017-12-25 08:00:00,13503.0,13633.0,14278.0,12675.0,45609.51553933,4983.735116288958,0,1.735498513041269,0.3999999999999999,,,0.0,,0.025528980418793343,0.06382245104698338,348.03659004940965,870.0914751235243,399.9999999999999,,,
2017-12-26 08:00:00,13634.0,15680.0,16060.0,13531.0,63432.82131218,5041.221116288958,1,2.11035751820834,0.3999999999999999,,,0.0,,0.025528980418793343,0.06382245104698338,400.2944129666796,1000.7360324166993,399.9999999999999,,,
2017-12-27 08:00:00,15680.0,15375.0,16494.0,14454.0,54988.92117595,5097.413116288958,2,2.0162358139795775,0.3999999999999999,,,0.0,,0.025528980418793343,0.06382245104698338,392.50807393894763,981.2701848473695,399.9999999999999,,,
2017-12-28 08:00:00,15374.0,14323.0,15468.0,13145.0,72902.77821839,5149.319516288959,3,1.7815325801189323,0.3999999999999999,399.9999999999999,1000.0,0.02788528231878949,0.06971320579697374,0.05341426273758283,0.13353565684395713,765.0524851903989,1912.6312129759979,799.9999999999998,2000.0,0.9563156064879988,0.956315606487999
2017-12-29 08:00:00,14324.0,14304.0,15131.0,13826.0,47997.44310277,5201.114716288958,4,1.7501796788297015,0.3999999999999999,,,0.0,,0.05341426273758283,0.13353565684395713,764.0376141983849,1910.0940354959628,799.9999999999998,,,
2017-12-30 08:00:00,14304.0,12384.0,14417.0,11651.0,75442.16785566,5245.270716288958,5,1.3609839548494667,0.3999999999999999,,,0.0,,0.05341426273758283,0.13353565684395713,661.4822297422257,1653.705574355565,799.9999999999998,,,
2017-12-31 08:00:00,12385.0,13769.0,14210.0,12166.0,43270.25129356,5294.862316288958,6,1.6004453331376447,0.3999999999999999,,,0.0,,0.05341426273758283,0.13353565684395713,735.460983633778,1838.6524590844458,799.9999999999998,,,
2018-01-01 08:00:00,13763.0,13376.0,13893.0,12777.0,29564.92955226,5342.7663162889585,0,1.5035719715495361,0.3999999999999999,,,0.0,,0.05341426273758283,0.13353565684395713,714.469178377908,1786.1729459447706,799.9999999999998,,,
2018-01-02 08:00:00,13375.0,14722.0,15500.0,12795.0,56192.95272942,5395.8931162889585,1,1.728371315502465,0.3999999999999999,,,0.0,,0.05341426273758283,0.13353565684395713,786.3647760226944,1965.9119400567367,799.9999999999998,,,
2018-01-03 08:00:00,14717.0,15150.0,15428.83091885,14500.0,38358.37345226,5450.830716288958,2,1.7793928647841855,0.3999999999999999,,,0.0,,0.05341426273758283,0.13353565684395713,809.22608047438,2023.0652011859504,799.9999999999998,,,
2018-01-04 08:00:00,15150.0,15159.0,15422.15785315,14060.0,46479.98264264,5505.772316288957,3,1.7532922048286927,0.3999999999999999,399.9999999999999,1000.0,0.026347443673858554,0.0658686091846464,0.07976170641144138,0.19940426602860353,1209.10770749104,3022.769268727601,1199.9999999999995,3000.0,1.0075897562425338,1.0075897562425336
2018-01-05 08:00:00,15159.0,16911.0,17105.0,14725.0,54627.60106518,5567.676316288957,4,2.0373532941425996,0.3999999999999999,,,0.0,,0.07976170641144138,0.19940426602860353,1348.8502171238852,3372.1255428097143,1199.9999999999995,,,
